url,address,city,state,zip,monthly_payment_total,assumable_rate_pct,loan_type,loan_balance,monthly_payment,price,equity_needed,monthly_tax,monthly_insurance,monthly_hoa,beds,baths,sqft,monthly_loan_insurance,remaining_years
https://www.withroam.com/listing/2430-ROSE-MILL-CT-SW-ATLANTA-GA-30311/403939,"2430 Rose Mill Ct SW, Atlanta, GA, 30311",Atlanta,GA,30311,3111.0,2.5,VA,428190.0,1944.0,598000.0,169809.0,647.0,318.0,200.0,4.0,3.5,2742.0,,
https://www.withroam.com/listing/120-RALPH-MCGILL-BLVD-NE-APT-903-903-ATLANTA-GA-30308/411667,"120 Ralph Mcgill Blvd NE Apt 903 # 903, Atlanta, GA, 30308",Atlanta,GA,30308,1431.0,3.72,FHA,133058.0,702.0,179888.0,46829.0,194.0,95.0,331.0,1.0,1.0,520.0,107.0,
https://www.withroam.com/listing/384-RALPH-MCGILL-BLVD-NE-105-ATLANTA-GA-30312/345291,"384 Ralph Mcgill Blvd NE # 105, Atlanta, GA, 30312",Atlanta,GA,30312,2384.0,2.9,FHA,254409.0,1185.0,287000.0,32590.0,310.0,153.0,534.0,2.0,2.0,1086.0,201.0,
https://www.withroam.com/listing/615-BROADVIEW-PL-NE-ATLANTA-GA-30324/291143,"615 Broadview Pl NE, Atlanta, GA, 30324",Atlanta,GA,30324,2560.0,2.625,VA,341272.0,1575.0,455000.0,113727.0,492.0,242.0,250.0,2.0,2.5,1300.0,,
https://www.withroam.com/listing/1590-EZRA-CHURCH-DR-NW-ATLANTA-GA-30314/407891,"1590 Ezra Church Dr NW, Atlanta, GA, 30314",Atlanta,GA,30314,1635.0,2.75,VA,238633.0,1085.0,340000.0,101366.0,368.0,181.0,0.0,4.0,4.0,1540.0,,
https://www.withroam.com/listing/1444-LAKEVIEW-EAST-DR-SE-ATLANTA-GA-30316/404759,"1444 Lakeview East Dr SE, Atlanta, GA, 30316",Atlanta,GA,30316,4247.0,5.125,VA,555491.0,3201.0,640000.0,84508.0,688.0,341.0,16.0,4.0,3.5,4234.0,,
https://www.withroam.com/listing/384-RALPH-MCGILL-BLVD-NE-405-ATLANTA-GA-30312/368874,"384 Ralph Mcgill Blvd NE # 405, Atlanta, GA, 30312",Atlanta,GA,30312,2804.0,3.55,FHA,361203.0,1774.0,465000.0,103796.0,503.0,248.0,0.0,3.0,3.0,1444.0,278.0,26.0
https://www.withroam.com/listing/1018-KATHERWOOD-DR-SW-ATLANTA-GA-30310/411367,"1018 Katherwood Dr SW, Atlanta, GA, 30310",Atlanta,GA,30310,1952.0,2.9,FHA,249225.0,1185.0,349900.0,100674.0,379.0,186.0,0.0,3.0,2.0,1416.0,201.0,
https://www.withroam.com/listing/1930-CUMMINGS-DR-SW-ATLANTA-GA-30311/411621,"1930 Cummings Dr SW, Atlanta, GA, 30311",Atlanta,GA,30311,1854.0,3.6,FHA,225078.0,1186.0,299000.0,73921.0,323.0,159.0,0.0,3.0,1.5,1469.0,184.0,
https://www.withroam.com/listing/145-HOLLY-RD-NW-ATLANTA-GA-30314/129967,"145 Holly Rd NW, Atlanta, GA, 30314",Atlanta,GA,30314,1384.0,2.9,FHA,176176.0,837.0,250000.0,73823.0,270.0,133.0,0.0,3.0,2.0,1102.0,142.0,
https://www.withroam.com/listing/538-WABASH-AVE-NE-ATLANTA-GA-30312/377154,"538 Wabash Ave NE, Atlanta, GA, 30312",Atlanta,GA,30312,3278.0,3.43,FHA,371223.0,2103.0,520000.0,148776.0,563.0,277.0,0.0,3.0,1.5,1305.0,334.0,
https://www.withroam.com/listing/361-17TH-ST-NW-UNIT-1121-1121-ATLANTA-GA-30363/190854,"361 17th St NW # 1121, Atlanta, GA, 30363",Atlanta,GA,30363,1711.0,3.0,VA,197135.0,905.0,225000.0,27865.0,243.0,120.0,443.0,1.0,1.0,695.0,,
https://www.withroam.com/listing/285-CENTENNIAL-OLYMPIC-PARK-DR-NW-%23-203-203-ATLANTA-GA-30313/405916,"285 Centennial Olympic Park Dr NW # 203, Atlanta, GA, 30313",Atlanta,GA,30313,2228.0,5.09,VA,218107.0,1258.0,245000.0,26892.0,265.0,130.0,574.0,1.0,1.0,899.0,,
https://www.withroam.com/listing/971-ESTES-DR-SW-ATLANTA-GA-30310/245991,"971 Estes Dr SW, Atlanta, GA, 30310",Atlanta,GA,30310,1491.0,3.11,FHA,177814.0,835.0,196713.0,18898.0,213.0,104.0,200.0,1.0,1.0,640.0,138.0,
https://www.withroam.com/listing/2260-CARVER-DR-NW-ATLANTA-GA-30314/420872,"2260 Carver Dr NW, Atlanta, GA, 30314",Atlanta,GA,30314,1466.0,2.8,FHA,177944.0,837.0,300000.0,122055.0,325.0,160.0,0.0,4.0,2.5,1496.0,144.0,
